2022-01-10 12:04:00.006> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 1867 29134-N7000 2021-12-09
2022-01-10 12:15:48.295> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0118 29136-CZ000 2022-01-04
2022-01-10 12:15:49.621> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1098 29135-N7000 2022-01-04
2022-01-10 12:15:52.133> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0603 29134-N7000 2022-01-04
2022-01-10 12:16:04.925> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0157 29150-CZ000 2022-01-03
2022-01-10 12:16:13.397> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220003012064971N7000
2022-01-10 12:16:14.270> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220002012064981N7000
2022-01-10 12:16:55.299> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 0598 29134-N7000 2022-01-04
2022-01-10 12:16:57.075> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0309 29136-N70002022-01-04 
2022-01-10 12:16:57.824> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1099 29135-N7000 2022-01-04
2022-01-10 12:16:58.526> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0598 29134-N7000 2022-01-04
2022-01-10 12:17:16.467> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0132 29150-N7000 2022-01-03
2022-01-10 12:17:22.223> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220003012064971N7000
2022-01-10 12:17:23.159> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220002012064981N7000
2022-01-10 12:17:49.805> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0024 29135-N7600 2021-12-22
2022-01-10 12:17:54.064> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0261 29150-N7600 2022-01-05
2022-01-10 12:18:18.557> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25414-K400000000050
2022-01-10 12:18:19.446> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25415-K400000000030
2022-01-10 12:18:40.662> BarcodeResult: OK, MSG: COMPLETE , BARCODE: DDOR;202112281621290042;29135-DD010
2022-01-10 12:18:55.779> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VLN52P81130J9000SH01EHJ9L0410T211015IH31A0003431CHL03
