2022-01-10 12:04:00.006> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 1867 29134-N7000 2021-12-09
2022-01-10 12:04:03.190> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: CZL0 0118 29136-CZ000 2022-01-04
2022-01-10 12:04:32.365> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0348 29136-N70002022-01-04 
2022-01-10 12:04:37.669> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1086 29135-N7000 2022-01-04
2022-01-10 12:04:43.754> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1867 29134-N7000 2021-12-09
2022-01-10 12:05:02.599> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0130 29150-N7000 2022-01-03
2022-01-10 12:05:05.376> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220003012064971N7000
2022-01-10 12:05:06.593> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220002012064981N7000
2022-01-10 12:05:40.227> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0007 29135-N7600 2021-12-22
2022-01-10 12:05:42.099> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0263 29150-N7600 2022-01-05
2022-01-10 12:06:25.796> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15TU
2022-01-10 12:06:26.935> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 15HL
2022-01-10 12:06:35.235> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: 131221000400062827308050
2022-01-10 12:06:39.023> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: 131221000400062827308050
2022-01-10 12:06:53.263> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: 131221000700062827308050
2022-01-10 12:07:06.147> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 28285-0805000000015
2022-01-10 12:07:09.938> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 131221000400062827308050
2022-01-10 12:07:20.749> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92101G4600     SPP5LEHG4M0001 T211217HA5BA00002881A M CL009PP5L0041200
2022-01-10 12:07:21.950> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92102G4600     SPP5REHG4M0001 T211213HA6AA00000361A M CR009PP5R0040726
2022-01-10 12:07:46.177> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VD136P81130G3000SG30EHS0K0176T210602V3D1AL5100QFB1115MN
2022-01-10 12:08:57.425> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 0229 29134-N7000 2022-01-07
2022-01-10 12:08:58.847> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0121 29136-CZ000 2022-01-04
2022-01-10 12:09:00.095> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1090 29135-N7000 2022-01-04
2022-01-10 12:09:01.453> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0229 29134-N7000 2022-01-07
2022-01-10 12:09:10.173> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0158 29150-CZ000 2022-01-03
2022-01-10 12:09:18.941> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220003012064971N7000
2022-01-10 12:09:19.955> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220002012064981N7000
2022-01-10 12:11:03.261> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 0605 29134-N7000 2022-01-04
2022-01-10 12:11:04.881> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: CZL0 0118 29136-CZ000 2022-01-04
2022-01-10 12:11:28.846> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0351 29136-N70002022-01-04 
2022-01-10 12:11:32.185> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 1095 29135-N7000 2022-01-04
2022-01-10 12:11:34.244> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0605 29134-N7000 2022-01-04
2022-01-10 12:11:58.768> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0129 29150-N7000 2022-01-03
2022-01-10 12:12:04.135> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220003012064971N7000
2022-01-10 12:12:05.071> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 0701220002012064981N7000
2022-01-10 12:13:18.970> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N76 0006 29135-N7600 2021-12-22
2022-01-10 12:13:22.246> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA76 0262 29150-N7600 2022-01-05
2022-01-10 12:14:04.602> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: JPSRTN21101200322021101225414K4000        000000000000050NPL1801856
2022-01-10 12:14:06.835> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: JPSRTN21101200462021101225415K4000        000000000000030NPL1802693
2022-01-10 12:14:12.277> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25414-K400000000050
2022-01-10 12:14:13.151> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 25415-K400000000030
2022-01-10 12:15:00.046> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VLN52P81130J9000SH01EHJ9L0410T210927IH31A0011578CHL03
2022-01-10 12:15:47.003> BarcodeResult: NG, MSG: BACODE DATA ERROR , BARCODE: NR70 0603 29134-N7000 2022-01-04
